Cars,Price,Mileage
2015 Honda Civic Sedan 4dr Man Si,"$17,000","Mileage 99,950 km"
2017 Honda Civic Sedan 4dr CVT EX,"$17,000","Mileage 52,963 km"
2018 Chevrolet Cruze 4dr Sdn 1.4L LT w/1SD,"$17,000","Mileage 34,000 km"
2018 Hyundai Elantra GL Auto,"$17,000","Mileage 25,000 km"
2016 Honda Civic Sedan 4dr CVT Touring,"$17,000","Mileage 76,000 km"
2014 Audi A4 4dr Sdn Auto Technik quattro,"$17,000","Mileage 124,000 km"
2014 Audi A4 4dr Sdn Auto Technik quattro,"$17,000","Mileage 99,000 km"
2014 Audi A4 4dr Sdn Auto Technik quattro,"$17,000","Mileage 99,000 km"
2018 Mazda Mazda3 GS Auto,"$16,999","Mileage 55,000 km"
2018 Hyundai Elantra Sport DCT,"$16,990","Mileage 57,000 km"
2012 Audi A6 4dr Sdn quattro 3.0T Premium Plus,"$16,950","Mileage 136,000 km"
2012 Audi S4 4dr Sdn S tronic,"$16,900","Mileage 146,000 km"
2018 Honda Civic Sedan LX CVT,"$16,900","Mileage 65,000 km"
2016 Toyota Camry 4dr Sdn I4 Auto XSE,"$16,900","Mileage 94,547 km"
2017 Honda Civic Sedan 4dr CVT LX,"$16,750","Mileage 17,000 km"
2016 Honda Civic Sedan 4dr CVT Touring,"$16,700","Mileage 97,000 km"
2013 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$16,500","Mileage 88,500 km"
2016 Chrysler 200 4dr Sdn Limited FWD,"$16,500","Mileage 53,000 km"
2018 Hyundai Elantra GL SE Auto,"$16,500","Mileage 34,000 km"
2013 BMW 3 Series 4dr Sdn 328i RWD,"$16,500","Mileage 93,800 km"
2016 Hyundai Sonata 4dr Sdn 2.4L Auto GLS,"$16,500","Mileage 71,000 km"
2017 Hyundai Elantra 4dr Sdn Auto Limited Ultimate *Ltd Avail*,"$16,500","Mileage 60,000 km"
2016 Honda Civic Sedan 4dr CVT EX w/Honda Sensing,"$16,500","Mileage 72,000 km"
2015 Volkswagen Jetta 4dr 2.0 TDI DSG Highline,"$16,500","Mileage 59,953 km"
2017 Toyota Camry 4dr Sdn I4 Auto SE,"$16,500","Mileage 57,000 km"
2016 Mazda Mazda6 4dr Sdn 2.5L Auto GT,"$16,500","Mileage 100,000 km"
2016 Mazda Mazda6 4dr Sdn 2.5L Auto GS,"$16,500","Mileage 44,500 km"
2015 Toyota Corolla 4dr Sdn CVT S,"$16,499","Mileage 76,495 km"
2013 Acura TL 4dr Sdn Auto SH-AWD w/Elite Pkg,"$16,300","Mileage 76,000 km"
2014 Toyota Camry Hybrid 4dr Sdn XLE,"$16,300","Mileage 135,000 km"
2015 BMW 3 Series 4dr Sdn 320i xDrive AWD,"$16,299","Mileage 85,000 km"
2016 Honda Civic Sedan 4dr CVT EX-T,"$16,280","Mileage 49,600 km"
2016 Ford Fusion 4dr Sdn SE AWD,"$16,263","Mileage 70,000 km"
2018 Toyota Corolla LE CVT,"$16,100","Mileage 61,000 km"
2016 Honda Civic Sedan 4dr CVT EX,"$16,086","Mileage 60,000 km"
2012 Acura TL 4dr Sdn Auto SH-AWD w/Tech Pkg,"$16,000","Mileage 122,000 km"
2017 Toyota Corolla 4dr Sdn CVT SE,"$16,000","Mileage 52,000 km"
2016 Honda Civic Sedan 4dr CVT EX,"$16,000","Mileage 105,000 km"
2015 Honda Accord 2dr V6 Auto EX-L w/Navi,"$16,000","Mileage 108,000 km"
2018 Hyundai Elantra GL SE Auto,"$16,000","Mileage 48,000 km"
